Participant,Age,Religion,Motivation_subscale,Average_rating
53,24,Christian,Nature_close,4.666666667
53,24,Christian,Sen_seek,4.5
53,24,Christian,Community,2.333333333
53,24,Christian,Rel_growth,2.166666667
53,24,Christian,Spirit_growth,4.947
53,24,Christian,Seek_life,4
54,25,Christian,Nature_close,4
54,25,Christian,Sen_seek,5.666666667
54,25,Christian,Community,1.333333333
54,25,Christian,Rel_growth,2.333333333
54,25,Christian,Spirit_growth,4
54,25,Christian,Seek_life,3.75
55,23,Christian,Nature_close,4.333333333
55,23,Christian,Sen_seek,5.333333333
55,23,Christian,Community,3
55,23,Christian,Rel_growth,2.666666667
55,23,Christian,Spirit_growth,5
55,23,Christian,Seek_life,3.25
56,19,Christian,Nature_close,3.666666667
56,19,Christian,Sen_seek,2.5
56,19,Christian,Community,1
56,19,Christian,Rel_growth,2.666666667
56,19,Christian,Spirit_growth,3.8
56,19,Christian,Seek_life,4
57,45,Atheist,Nature_close,4.666666667
57,45,Atheist,Sen_seek,3.166666667
57,45,Atheist,Community,1
57,45,Atheist,Rel_growth,5.166666667
57,45,Atheist,Spirit_growth,6
57,45,Atheist,Seek_life,5.75
58,21,Atheist,Nature_close,4.666666667
58,21,Atheist,Sen_seek,6
58,21,Atheist,Community,6
58,21,Atheist,Rel_growth,4.333333333
58,21,Atheist,Spirit_growth,5.2
58,21,Atheist,Seek_life,4.75
59,50,Christian,Nature_close,5.333333333
59,50,Christian,Sen_seek,5.5
59,50,Christian,Community,2.586333333
59,50,Christian,Rel_growth,2.666666667
59,50,Christian,Spirit_growth,3.8
59,50,Christian,Seek_life,3.25
60,20,Christian,Nature_close,3.666666667
60,20,Christian,Sen_seek,5.166666667
60,20,Christian,Community,1
60,20,Christian,Rel_growth,1.333333333
60,20,Christian,Spirit_growth,3.2
60,20,Christian,Seek_life,1.75
61,43,Christian,Nature_close,5.666666667
61,43,Christian,Sen_seek,2.166666667
61,43,Christian,Community,1.666666667
61,43,Christian,Rel_growth,5.166666667
61,43,Christian,Spirit_growth,5
61,43,Christian,Seek_life,4.25
62,37,Christian,Nature_close,5.333333333
62,37,Christian,Sen_seek,2.5
62,37,Christian,Community,5.333333333
62,37,Christian,Rel_growth,5.833333333
62,37,Christian,Spirit_growth,6
62,37,Christian,Seek_life,3.5
63,54,Christian,Nature_close,5
63,54,Christian,Sen_seek,1.833333333
63,54,Christian,Community,3.666666667
