Participant,Age,Religion,Nature_close,Sen_seek,Community,Rel_growth,Spirit_growth,Seek_life
235,30,Atheist,4.666666667,4.666666667,1.333333333,3.166666667,4.9522,3.5
237,50,Christian,2.666666667,3.666666667,2,2.166666667,1.8,1
238,65,Christian,3,1.5,2,5,4.1494,3.5
239,51,Christian,4.666666667,3.5,3.333333333,4.166666667,4.8,4
240,62,Christian,1.666666667,1.666666667,1,1,3,1
241,62,Christian,6,3,5,5.166666667,5.6,2.5
242,17,Christian,4.333333333,4.666666667,2.666666667,2.166666667,4.7494,5.5
243,25,Atheist,3.666666667,4,2.333333333,1.833333333,4.2,3.5
244,35,Christian,5.333333333,5.666666667,1.333333333,2.333333333,5,3.5
245,52,Christian,2.333333333,1.833333333,1,4.166666667,3.2,2
247,21,Atheist,6,3.666666667,2.333333333,3,4.8,5
248,27,Christian,2.666666667,2.5,3.333333333,4.5,3.9494,3.25
249,53,Christian,4,2.833333333,3.666666667,5.5,4.7494,3.5
250,48,Christian,4.666666667,3.833333333,4.333333333,5,5.1494,4.25
251,28,Christian,4.333333333,4.666666667,3.666666667,2,2.9494,3.75
252,22,Atheist,6,5.333333333,4.333333333,3,5.6,4
253,23,Christian,6,5.5,1.666666667,3.5,5.7494,6
254,43,Christian,3.666666667,2.833333333,5,5.333333333,5.8,4.25
256,24,Christian,5.333333333,4.333333333,3,3.666666667,4.8,3.25
257,19,Atheist,3.333333333,4.333333333,2,1,2.4,4.5
258,57,Christian,5,5.333333333,4.666666667,3.833333333,5.3494,4
259,55,Christian,4,2.188,5.666666667,4.833333333,4.4,1
260,56,Atheist,5.333333333,5,3,2.833333333,3.3522,3.25
261,61,Christian,5.333333333,6,3.333333333,2.833333333,4,2.5
263,34,Christian,6,5.833333333,3.333333333,4.5,5.4,4.25
264,65,Christian,3,1.833333333,1,2.666666667,5.2,2.5
265,38,Christian,5,3.666666667,4,4.333333333,5,3.5
266,25,Atheist,4,3.333333333,4.666666667,2.166666667,4.8,2.75
267,23,Atheist,4.333333333,4,1.666666667,1.5,3.2,1.25
269,41,Atheist,6,2.833333333,3.333333333,1.666666667,4.4,2.25
270,40,Christian,4.666666667,1.333333333,4,6,5.7494,6
271,35,Christian,4,4.666666667,2,2.333333333,5.4,5.25
273,57,Christian,2.333333333,1.333333333,1,5.166666667,4.2,1.75
274,70,Christian,4.333333333,1.5,3.666666667,3.833333333,5.7494,4.75
275,63,Christian,2.333333333,2,1.666666667,2.5,1,1
276,40,Christian,3.333333333,2.166666667,3.666666667,2,3.4,1
277,35,Christian,3.666666667,2.333333333,4,4.333333333,3.6,1.5
278,21,Atheist,5,4.666666667,4.666666667,1.166666667,5.4,4.25
279,20,Christian,3,3.5,3.333333333,3.333333333,2.8,2.25
