ACCIDENT_INDEX,ACCIDENT_SEVERITY,SPEED_LIMIT,DAY_OF_WEEK
201497AD03308,Serious,30,Wednesday
201497AD03310,Serious,30,Monday
201497AD03403,Slight,30,Sunday
201497AD03507,Slight,30,Friday
201497AD03703,Slight,30,Monday
201497AD03706,Slight,30,Wednesday
201497AD03709,Slight,30,Monday
201497AD03712,Slight,30,Wednesday
201497AD03803,Slight,30,Monday
201497AD03905,Slight,30,Thursday
201497AD03910,Slight,30,Wednesday
201497AD03912,Slight,30,Monday
201497AD04003,Slight,30,Tuesday
201497AD04004,Slight,30,Monday
201497AD04005,Slight,30,Wednesday
201497AD04008,Slight,30,Sunday
201497AD04104,Slight,30,Sunday
201497AD04204,Slight,30,Thursday
201497AD04305,Slight,30,Friday
201497AD04405,Slight,30,Thursday
201497AD04603,Slight,30,Friday
201497AD70101,Slight,30,Friday
201497AD70103,Serious,30,Monday
201497AD70104,Serious,30,Friday
201497AD70105,Slight,40,Friday
201497AD70106,Slight,30,Thursday
201497AD70109,Slight,40,Thursday
201497AD70111,Serious,30,Saturday
201497AD70205,Slight,30,Wednesday
201497AD70206,Slight,30,Friday
201497AD70207,Slight,30,Wednesday
201497AD70208,Slight,30,Friday
201497AD70209,Slight,30,Tuesday
201497AD70210,Slight,40,Saturday
201497AD70304,Slight,40,Friday
201497AD70311,Serious,30,Sunday
201497AD70411,Slight,30,Monday
201497AD70608,Slight,50,Friday
201497AE00101,Serious,30,Friday
201497AE00104,Slight,30,Thursday
201497AE00108,Slight,30,Friday
201497AE00110,Slight,30,Wednesday
201497AE00209,Slight,30,Thursday
201497AE00301,Slight,30,Monday
201497AE00302,Slight,30,Wednesday
201497AE00304,Slight,30,Tuesday
201497AE00306,Slight,30,Sunday
201497AE00401,Slight,30,Monday
201497AE00406,Slight,30,Monday
201497AE00410,Slight,30,Saturday
201497AE00501,Slight,30,Saturday
201497AE00506,Slight,30,Tuesday
201497AE00509,Slight,30,Tuesday
201497AE00510,Slight,30,Wednesday
201497AE00604,Slight,30,Monday
201497AE00608,Slight,30,Wednesday
201497AE00711,Slight,30,Wednesday
201497AE00811,Slight,30,Thursday
201497AE00901,Slight,30,Thursday
201497AE00902,Slight,30,Friday
201497AE00905,Slight,30,Wednesday
201497AE00912,Slight,30,Friday
201497AE01004,Slight,30,Sunday
201497AE01006,Slight,20,Monday
201497AE01008,Slight,30,Wednesday
201497AE01012,Slight,30,Friday
201497AE01101,Slight,30,Friday
201497AE01301,Slight,30,Monday
201497AE01304,Slight,30,Thursday
201497AE01311,Serious,30,Tuesday
201497AE01312,Slight,30,Thursday
201497AE01404,Slight,30,Friday
201497AE01410,Slight,30,Sunday
201497AE01502,Slight,30,Friday
201497AE01503,Serious,30,Thursday
201497AE01509,Slight,30,Monday
201497AE01511,Slight,30,Saturday
201497AE01512,Slight,30,Sunday
201497AE01608,Slight,30,Wednesday
201497AE01610,Serious,30,Thursday
201497AE01710,Slight,30,Thursday
201497AE01806,Slight,30,Friday
201497AE01811,Slight,30,Monday
201497AE01912,Slight,30,Tuesday
201497AE02005,Slight,30,Tuesday
201497AE02009,Serious,30,Saturday
201497AE02201,Slight,30,Tuesday
201497AE02203,Slight,30,Friday
201497AE02205,Slight,30,Saturday
201497AE02303,Slight,30,Friday
201497AE02308,Slight,30,Wednesday
201497AE02309,Slight,30,Monday
201497AE02408,Slight,30,Friday
201497AE02410,Slight,30,Wednesday
201497AE02505,Slight,30,Thursday
201497AE02508,Slight,30,Thursday
201497AE02611,Slight,30,Thursday
201497AE02810,Slight,30,Thursday
201497AE02811,Slight,30,Wednesday
201497AE02908,Slight,30,Monday
201497AE02910,Slight,30,Tuesday
201497AE03008,Slight,30,Monday
201497AE03308,Slight,30,Wednesday
201497AE70101,Fatal,40,Sunday
201497AE70102,Slight,30,Tuesday
201497AE70111,Slight,30,Thursday
201497AE70207,Fatal,30,Sunday
201497BA00108,Slight,30,Friday
201497BA00111,Slight,30,Monday
201497BA00112,Slight,30,Tuesday
201497BA00203,Slight,30,Monday
201497BA00205,Slight,40,Thursday
201497BA00207,Slight,30,Tuesday
201497BA00209,Serious,30,Saturday
201497BA00210,Slight,30,Wednesday
201497BA00301,Slight,30,Tuesday
201497BA00407,Slight,30,Wednesday
201497BA00502,Slight,30,Wednesday
201497BA00504,Slight,30,Thursday
201497BA00506,Slight,30,Friday
201497BA00508,Slight,30,Wednesday
201497BA00510,Slight,30,Saturday
201497BA00601,Slight,30,Wednesday
201497BA00607,Slight,30,Friday
201497BA00612,Slight,30,Saturday
201497BA00704,Serious,30,Friday
201497BA00705,Slight,30,Sunday
201497BA00710,Slight,30,Tuesday
201497BA00712,Slight,30,Saturday
201497BA00801,Slight,30,Saturday
201497BA00806,Serious,30,Tuesday
201497BA00812,Slight,30,Saturday
201497BA00902,Slight,30,Monday
201497BA00906,Slight,20,Tuesday
201497BA00910,Slight,30,Thursday
201497BA00911,Slight,30,Friday
201497BA00912,Slight,30,Monday
201497BA01001,Slight,30,Monday
201497BA01005,Slight,30,Sunday
201497BA01009,Slight,30,Friday
201497BA01011,Slight,30,Tuesday
201497BA01012,Slight,30,Tuesday
201497BA01102,Slight,30,Wednesday
201497BA01106,Slight,30,Saturday
201497BA01112,Slight,30,Monday
201497BA01206,Slight,30,Monday
201497BA01304,Slight,30,Monday
201497BA01307,Slight,30,Thursday
201497BA01308,Slight,30,Tuesday
201497BA01309,Slight,50,Saturday
201497BA01311,Slight,30,Wednesday
201497BA01312,Slight,30,Monday
201497BA01401,Slight,30,Wednesday
201497BA01406,Slight,30,Wednesday
201497BA01408,Slight,30,Wednesday
201497BA01409,Slight,30,Monday
201497BA01411,Serious,30,Sunday
201497BA01504,Serious,30,Wednesday
201497BA01507,Slight,30,Friday
201497BA01509,Slight,30,Wednesday
201497BA01512,Slight,30,Friday
201497BA01603,Slight,30,Friday
201497BA01607,Slight,30,Saturday
201497BA01608,Slight,30,Friday
201497BA01610,Slight,30,Thursday
201497BA01706,Slight,30,Thursday
201497BA01709,Slight,30,Saturday
201497BA01710,Slight,30,Thursday
201497BA01802,Slight,30,Monday
201497BA01803,Slight,30,Sunday
201497BA01805,Serious,30,Monday
201497BA01807,Slight,30,Tuesday
201497BA01811,Slight,30,Monday
201497BA01901,Serious,30,Thursday
201497BA01904,Slight,30,Saturday
201497BA01906,Slight,30,Sunday
201497BA01910,Slight,30,Friday
201497BA01911,Slight,30,Wednesday
201497BA02001,Slight,30,Friday
201497BA02005,Slight,30,Sunday
201497BA02006,Slight,30,Wednesday
201497BA02009,Slight,30,Friday
201497BA02102,Slight,30,Monday
201497BA02103,Slight,30,Saturday
201497BA02104,Slight,30,Tuesday
201497BA02107,Slight,30,Thursday
201497BA02110,Serious,30,Saturday
201497BA02111,Slight,30,Tuesday
201497BA02112,Slight,30,Wednesday
201497BA02201,Slight,30,Tuesday
201497BA02203,Slight,30,Friday
201497BA02302,Serious,30,Wednesday
201497BA02304,Serious,30,Thursday
201497BA02312,Slight,30,Sunday
201497BA02401,Slight,30,Wednesday
201497BA02404,Serious,30,Tuesday
201497BA02405,Slight,40,Wednesday
201497BA02408,Slight,30,Wednesday
201497BA02410,Slight,30,Wednesday
201497BA02412,Slight,30,Sunday
201497BA02504,Slight,30,Wednesday
201497BA02510,Slight,30,Friday
201497BA02602,Slight,30,Friday
201497BA02603,Slight,30,Thursday
201497BA02607,Slight,50,Monday
201497BA02610,Serious,30,Wednesday
201497BA02612,Serious,30,Monday
201497BA02705,Slight,30,Thursday
201497BA02710,Slight,30,Saturday
201497BA02801,Slight,30,Friday
201497BA02807,Slight,30,Friday
201497BA02808,Serious,30,Saturday
201497BA03007,Slight,30,Saturday
201497BA03008,Slight,30,Thursday
201497BA03101,Slight,30,Wednesday
201497BA03112,Slight,30,Thursday
201497BA03201,Slight,30,Tuesday
201497BA03205,Slight,30,Friday
201497BA03301,Slight,60,Saturday
201497BA03408,Slight,30,Wednesday
201497BA03510,Serious,30,Sunday
201497BA70101,Slight,50,Sunday
201497BA70105,Slight,60,Thursday
201497BA70108,Serious,30,Friday
201497BA70110,Slight,30,Thursday
201497BA70111,Slight,30,Thursday
201497BA70112,Slight,50,Monday
201497BA70202,Serious,30,Saturday
201497BA70206,Slight,50,Friday
201497BA70208,Slight,30,Wednesday
201497BA70211,Slight,30,Saturday
201497BA70212,Slight,50,Friday
201497BA70304,Slight,30,Wednesday
201497BA70305,Slight,30,Saturday
201497BA70306,Slight,30,Thursday
201497BA70312,Serious,30,Friday
201497BA70407,Slight,60,Thursday
201497BA70408,Slight,30,Friday
201497BA70412,Slight,30,Friday
201497BA70501,Serious,30,Wednesday
201497BA70507,Slight,50,Thursday
201497BA70509,Serious,30,Tuesday
201497BA70512,Slight,30,Monday
201497BA70607,Slight,30,Wednesday
201497BA70609,Slight,30,Wednesday
201497BA70612,Serious,50,Sunday
201497BA70708,Slight,30,Saturday
201497BA70709,Serious,30,Wednesday
201497BA70808,Slight,30,Friday
201497BA70908,Slight,70,Wednesday
201497BA71209,Slight,30,Saturday
201497BC00103,Slight,30,Sunday
201497BC00104,Slight,30,Wednesday
201497BC00112,Slight,30,Monday
201497BC00203,Slight,30,Sunday
201497BC00204,Slight,30,Thursday
201497BC00212,Slight,30,Wednesday
201497BC00302,Slight,20,Tuesday
201497BC00307,Slight,30,Saturday
201497BC00310,Slight,30,Friday
201497BC00405,Slight,60,Tuesday
201497BC00409,Serious,30,Monday
201497BC00412,Slight,30,Saturday
